"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"2720-10","USD","2720-10-0","Metrô Guilhermina/esperança","0","69847"
"2720-10","USD","2720-10-1","Jd. Belém","1","61714"
"2720-31","US_","2720-31-0","Metrô Guilhermina/esperança","0","70175"
"2720-31","US_","2720-31-1","Jd. Belém","1","70176"
"2721-10","USD","2721-10-0","Metrô Itaquera","0","81149"
"2721-10","USD","2721-10-1","Jd. Nazaré","1","81150"
"2722-10","USD","2722-10-0","Metrô Guilhermina/esperança","0","70771"
"2722-10","USD","2722-10-1","Jd. Veronia","1","52935"
"2722-31","USD","2722-31-0","Jd. Verônia","0","70772"
"2723-10","USD","2723-10-0","Metrô Itaquera","0","79933"
"2723-10","USD","2723-10-1","União De Vl. Nova","1","79934"
"2724-10","USD","2724-10-0","Conj. Araucária","0","54038"
"2725-10","USD","2725-10-0","Jd. São Carlos","0","81115"
"2726-10","USD","2726-10-0","Metrô Penha","0","78997"
"2726-10","USD","2726-10-1","Limoeiro","1","63061"
"2727-10","USD","2727-10-0","Conj. A. E. Carvalho","0","70789"
"2728-10","USD","2728-10-0","Metrô Penha","0","79002"
"2728-10","USD","2728-10-1","Jd. Do Castelo","1","71046"
"272N-10","US_","272N-10-0","Pq. D. Pedro Ii","0","72936"
"2730-10","USD","2730-10-0","Metrô Artur Alvim","0","81124"
"2730-10","USD","2730-10-1","Vl. Jacui","1","70199"
"2731-10","USD","2731-10-0","Metrô Itaquera","0","70556"
"2731-10","USD","2731-10-1","Vl. Progresso","1","70581"
"2732-10","USD","2732-10-0","Vl. Regina","0","55383"
"2733-10","USD","2733-10-0","Metrô Itaquera","0","70467"
"2733-10","USD","2733-10-1","Pq. Guarani","1","70468"
"2734-10","USD","2734-10-0","Metrô Itaquera","0","70492"
"2734-10","USD","2734-10-1","Jd. Campos","1","70493"
"2735-10","USD","2735-10-0","Metrô Penha","0","79004"
"2735-10","USD","2735-10-1","Jd. Keralux","1","79005"
"2735-21","U__","2735-21-0","Metrô Penha","0","79006"
"2735-21","U__","2735-21-1","Jd. São Francisco","1","79007"
"273D-10","USD","273D-10-0","Metrô Artur Alvim","0","57224"
"273D-10","USD","273D-10-1","Pq. D. João Nery","1","57225"
"273F-10","U__","273F-10-0","Metrô Itaquera","0","80937"
"273F-10","U__","273F-10-1","Vl. Mara","1","80938"
"273G-10","USD","273G-10-0","Metrô Artur Alvim","0","65210"
"273G-10","USD","273G-10-1","Jd. Helena","1","70130"
"273G-21","U__","273G-21-0","Metrô Artur Alvim","0","72462"
"273J-10","USD","273J-10-0","Metrô Penha","0","79019"
"273J-10","USD","273J-10-1","Jd. Romano","1","72346"
"273L-10","USD","273L-10-0","Metrô Artur Alvim","0","78491"
"273L-10","USD","273L-10-1","Cptm José Bonifácio","1","78492"
"273N-10","USD","273N-10-0","Metrô Vl. Matilde","0","78489"
"273N-10","USD","273N-10-1","Cid. Kemel Ii","1","70187"
"273N-41","U__","273N-41-0","Metrô Vl. Matilde","0","78490"
"273R-10","USD","273R-10-0","Metrô Artur Alvim","0","45866"
"273R-10","USD","273R-10-1","Jd. Robru","1","80939"
"273R-42","U__","273R-42-0","Metrô Itaquera","0","81405"
"273V-10","US_","273V-10-0","Metrô Penha","0","79020"
"273V-10","US_","273V-10-1","Parada Xv De Novembro","1","60833"
"273X-10","USD","273X-10-0","Metrô Artur Alvim","0","52642"
